=========================================================================
Time: Fri Dec 12 10:00:41 CET 2014
Running: run_batch_mode 237485328
{COLLECTING:  INSTANCE DDR3_SDRAM    }
{COLLECTING:  C_INTERCONNECT_S_AXI_MASTERS microblaze_0.M_AXI_DC & microblaze_0.M_AXI_IC OPTIONAL string none microblaze_0.M_AXI_DC & microblaze_0.M_AXI_IC}
{COLLECTING:  C_INTERCONNECT_S_AXI_IS_ACLK_ASYNC 0 OPTIONAL_UPDATE integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_ACLK_RATIO 200000000 UPDATE integer 1 }
{COLLECTING:  C_INTERCONNECT_S_AXI_SECURE 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_AW_REGISTER 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_AR_REGISTER 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_W_REGISTER 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_R_REGISTER 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_B_REGISTER 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_WRITE_FIFO_DEPTH 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_WRITE_FIFO_DELAY 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_READ_FIFO_DEPTH 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_READ_FIFO_DELAY 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_WRITE_ACCEPTANCE 4 OPTIONAL INTEGER 4 }
{COLLECTING:  C_INTERCONNECT_S_AXI_READ_ACCEPTANCE 4 OPTIONAL INTEGER 4 }
{COLLECTING:  C_S_AXI_ADDED_AXI_PARAMS TRUE CONSTANT   }
{COLLECTING:  C_S_AXI_AXI_VER 1.06.a CONSTANT   }
{COLLECTING:  C_INTERCONNECT_S_AXI_CTRL_MASTERS none OPTIONAL string none }
{COLLECTING:  C_INTERCONNECT_S_AXI_CTRL_IS_ACLK_ASYNC 0 OPTIONAL_UPDATE integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_CTRL_ACLK_RATIO 1 UPDATE integer 1 }
{COLLECTING:  C_INTERCONNECT_S_AXI_CTRL_SECURE 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_CTRL_AW_REGISTER 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_CTRL_AR_REGISTER 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_CTRL_W_REGISTER 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_CTRL_R_REGISTER 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_CTRL_B_REGISTER 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_CTRL_WRITE_FIFO_DEPTH 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_CTRL_READ_FIFO_DEPTH 0 OPTIONAL integer 0 }
{COLLECTING:  C_INTERCONNECT_S_AXI_CTRL_WRITE_ACCEPTANCE 1 OPTIONAL_UPDATE integer 1 }
{COLLECTING:  C_INTERCONNECT_S_AXI_CTRL_READ_ACCEPTANCE 1 OPTIONAL_UPDATE integer 1 }
{COLLECTING:  C_S_AXI_CTRL_ADDED_AXI_PARAMS TRUE CONSTANT   }
{COLLECTING:  C_S_AXI_CTRL_AXI_VER 1.01.a CONSTANT   }
{COLLECTING:  C_MEM_PARTNO MT41J64M16XX-15E REQUIRE STRING NOT_SET MT41J64M16XX-15E}
{COLLECTING:  C_MEM_BASEPARTNO NOT_SET OPTIONAL STRING NOT_SET }
{COLLECTING:  C_REFCLK_FREQ_EDK 0 OPTIONAL_UPDATE INTEGER 200 }
{COLLECTING:  C_REFCLK_FREQ 200 OPTIONAL_UPDATE INTEGER 200 }
{COLLECTING:  C_BYPASS_INIT_CAL FAST OPTIONAL STRING FAST }
{COLLECTING:  C_IODELAY_GRP IODELAY_MIG OPTIONAL_UPDATE STRING IODELAY_MIG }
{COLLECTING:  C_USE_EXTERNAL_IODELAY_CTRL 0 UPDATE INTEGER 0 }
{COLLECTING:  C_DRAM_TYPE DDR3 OPTIONAL STRING DDR3 }
{COLLECTING:  C_NCS_PER_RANK 1 OPTIONAL_UPDATE INTEGER 1 }
{COLLECTING:  C_BANK_WIDTH 3 OPTIONAL_UPDATE INTEGER 3 }
{COLLECTING:  C_CK_WIDTH 1 OPTIONAL_UPDATE INTEGER 1 }
{COLLECTING:  C_CKE_WIDTH 1 OPTIONAL_UPDATE INTEGER 1 }
{COLLECTING:  C_COL_WIDTH 10 OPTIONAL_UPDATE INTEGER 10 }
{COLLECTING:  C_CS_WIDTH 1 OPTIONAL_UPDATE INTEGER 1 }
{COLLECTING:  C_DM_WIDTH 1 OPTIONAL_UPDATE INTEGER 8 1}
{COLLECTING:  C_USE_DM_PORT 1 OPTIONAL_UPDATE INTEGER 1 }
{COLLECTING:  C_DRAM_WIDTH 8 OPTIONAL INTEGER 8 }
{COLLECTING:  C_DQS_WIDTH 1 OPTIONAL_UPDATE INTEGER 8 1}
{COLLECTING:  C_ROW_WIDTH 13 OPTIONAL_UPDATE INTEGER 13 }
{COLLECTING:  C_DQ_WIDTH 8 OPTIONAL_UPDATE INTEGER 64 8}
{COLLECTING:  C_BURST_MODE 8 OPTIONAL STRING 8 }
{COLLECTING:  C_BURST_TYPE SEQ OPTIONAL STRING SEQ }
{COLLECTING:  C_IODELAY_HP_MODE ON OPTIONAL STRING ON }
{COLLECTING:  C_CL 6 UPDATE INTEGER 6 }
{COLLECTING:  C_CWL 5 UPDATE INTEGER 5 }
{COLLECTING:  C_ADDR_CMD_MODE 1T UPDATE STRING 1T }
{COLLECTING:  C_NBANK_MACHS 4 OPTIONAL INTEGER 4 }
{COLLECTING:  C_ORDERING NORM OPTIONAL STRING NORM }
{COLLECTING:  C_RANKS 1 UPDATE INTEGER 1 }
{COLLECTING:  C_CAL_WIDTH HALF OPTIONAL STRING HALF }
{COLLECTING:  C_RTT_NOM 40 OPTIONAL STRING 40 }
{COLLECTING:  C_RTT_WR OFF OPTIONAL STRING OFF }
{COLLECTING:  C_OUTPUT_DRV HIGH OPTIONAL STRING HIGH }
{COLLECTING:  C_REG_CTRL OFF OPTIONAL STRING OFF }
{COLLECTING:  C_NDQS_COL0 1 UPDATE INTEGER 3 1}
{COLLECTING:  C_NDQS_COL1 0 UPDATE INTEGER 5 0}
{COLLECTING:  C_NDQS_COL2 0 UPDATE INTEGER 0 }
{COLLECTING:  C_NDQS_COL3 0 UPDATE INTEGER 0 }
{COLLECTING:  C_DQS_LOC_COL0 0x000000000000000000000000000000020100 UPDATE STD_LOGIC_VECTOR 0x000000000000000000000000000000020100 }
{COLLECTING:  C_DQS_LOC_COL1 0x000000000000000000000000000706050403 UPDATE STD_LOGIC_VECTOR 0x000000000000000000000000000706050403 }
{COLLECTING:  C_DQS_LOC_COL2 0x000000000000000000000000000000000000 UPDATE STD_LOGIC_VECTOR 0x000000000000000000000000000000000000 }
